Date,Close,Open,High,Low,Volume,log_return
1/31/2012,20875.83,20818.56,21009.92,20789.48,,0.006927136
2/1/2012,20790.88,20875.34,20941.03,20790.88,,-0.004077601
2/2/2012,20822,20872.94,20900.58,20785.4,,0.001495691
2/3/2012,20877.64,20822,20863.93,20786.35,,0.00266861
2/7/2012,20790.88,20857.9,20903,20733.35,,-0.004164301
2/8/2012,20693.84,20781.62,20781.62,20660.71,,-0.004678358
2/9/2012,20631.38,20718.29,20719.85,20631.38,,-0.003022854
2/10/2012,20623.63,20629.6,20725.76,20622.01,,-0.000375712
2/13/2012,20583.61,20615.26,20639.18,20582.32,,-0.001942378
2/14/2012,20667,20588.3,20669.19,20580.13,,0.004043097
2/15/2012,20329.62,20667,20703.47,20253.49,,-0.016459289
2/16/2012,20314.08,20280.71,20325.62,20251.27,,-0.000764694
2/17/2012,20411.17,20330.58,20469.7,20314.08,,0.004768058
2/20/2012,20439.25,20410.47,20481.48,20398.06,,0.001374772
2/21/2012,20492.31,20439.25,20526.5,20439.25,,0.002592622
2/22/2012,20313.36,20490.43,20536.45,20279.62,,-0.008770896
2/23/2012,20426.21,20293.82,20435.46,20250.8,,0.005540082
2/24/2012,20495.92,20427.25,20558.67,20396.67,,0.003406962
2/27/2012,20364.55,20495.92,20514.48,20362.16,,-0.006430198
2/28/2012,20137.51,20364.56,20364.9,20079.37,,-0.011211399
2/29/2012,20123.51,20083.77,20123.51,20007.19,,-0.000695462
3/1/2012,20193.4,20123.67,20234.03,20123.51,,0.003467035
3/2/2012,20592.01,20193.4,20592.01,20180.95,,0.019547318
3/5/2012,20619.05,20592.14,20786.96,20403.34,,0.001312269
3/6/2012,20926.31,20592.02,20926.31,20527.46,,0.014791813
3/7/2012,21068.34,20592.02,21068.34,20459.44,,0.006764221
3/8/2012,21181.41,21069.3,21194.41,21028.66,,0.00535247
3/9/2012,20950.01,21181.42,21193.07,20927.45,,-0.010984787
3/12/2012,21091.36,20950.02,21100.54,20950.02,,0.006724354
3/13/2012,21227.98,21091.36,21227.98,20988.34,,0.006456645
3/14/2012,21072.93,21091.36,21092.3,20908.34,,-0.007330844
3/15/2012,20658.28,21072.93,21072.93,20658.28,,-0.019873071
3/16/2012,20824.25,20658.28,20795.63,20543.6,,0.008001965
3/19/2012,21060.21,20658.28,21060.21,20406.46,,0.011267305
3/20/2012,21006.3,20658.28,21006.3,20544.51,,-0.002563085
3/21/2012,21067.9,21006.3,21072.95,21002.38,,0.002928162
3/22/2012,21261.29,21067.9,21400.05,21037.45,,0.009137493
3/23/2012,21191.22,21261.29,21282.79,21026.43,,-0.003301103
3/26/2012,21000.15,21076.4,21205.98,20995.63,,-0.009057364
3/27/2012,20916.03,20999.81,21001.2,20851.76,,-0.00401373
3/28/2012,20899.97,20916.03,20939.73,20747.33,,-0.000768127
3/29/2012,20756.19,20901.36,20939.06,20656.47,,-0.006903208
3/30/2012,20652.47,20756.19,20776.47,20615.38,,-0.005009591
4/2/2012,20650.95,20652.47,20652.47,20567.81,,-7.36E-05
4/3/2012,20849.95,20649.56,20849.95,20649.47,,0.009590227
4/4/2012,20934.47,20854.26,20955,20849.95,,0.004045533
4/5/2012,20941.93,20930.16,20952.2,20797.91,,0.000356287
4/10/2012,20845.32,20854.34,20902.89,20730.36,,-0.004623907
4/11/2012,20814.35,20788.55,20941.93,20710.16,,-0.00148681
4/12/2012,20742.1,20747.28,20758.13,20669.24,,-0.003477201
4/13/2012,20743.16,20683.33,20730.24,20638.11,,5.11E-05
4/16/2012,20685.7,20684.18,20714,20653.44,,-0.002773913
4/17/2012,20788.83,20787.78,20831.66,20710.11,,0.004973183
4/18/2012,21094.51,20788.83,21117.08,20788.83,,0.014596994
4/19/2012,21388.88,21094.51,21381.2,20976.9,,0.013858344
4/20/2012,21756.5,21399.39,21736.16,21388.88,,0.017041403
4/23/2012,21779.33,21756.5,21940.77,21756.5,,0.001048791
4/24/2012,21895.41,21777.54,21944.54,21757.02,,0.005315671
4/25/2012,21970.21,21895.63,22041.46,21845.98,,0.003410419
4/26/2012,22109.76,21970.21,22109.76,21956.33,,0.006331695
4/27/2012,22109.76,22109.76,22150.52,22093.98,,0
4/30/2012,22045.66,22109.28,22148.49,22109.28,,-0.002903383
5/2/2012,22351,22122.81,22343.62,22109.44,,0.013755306
5/3/2012,22537.98,22368.49,22684.97,22351,,0.008330823
5/4/2012,22665.99,22538.24,22891.14,22526.16,,0.005663677
5/7/2012,22571.78,22716.99,22762.27,22557.03,,-0.00416511
5/8/2012,22656.76,22571.78,22820.73,22553.2,,0.003757809
5/9/2012,22533.72,22820.1,23048.81,22607.67,,-0.005445408
5/10/2012,22511.3,22533.39,22533.72,22456.21,,-0.000995449
5/11/2012,22622.44,22511.3,22611.21,22503.2,,0.004924929
5/14/2012,22552.46,22626.6,22669.32,22574.41,,-0.003098183
5/15/2012,22422.43,22552.46,22563.37,22393.15,,-0.005782354
5/16/2012,22524.67,22427.01,22524.67,22318.98,,0.004549356
5/17/2012,22517.66,22524.67,22583.44,22503.22,,-0.000311263
5/18/2012,22381.11,22518.47,22518.47,22345.99,,-0.006082591
5/21/2012,22309.62,22381.11,22411.18,22269.62,,-0.003199324
5/22/2012,22342.13,22298.48,22341.77,22203.08,,0.001456158
5/23/2012,22314.67,22338.1,22346.41,22124.63,,-0.001229824
5/24/2012,22218.44,22315.58,22398.21,22194.26,,-0.004321735
5/25/2012,22232.36,22210.7,22232.9,22178.61,,0.00062631
5/28/2012,22180.02,22232.9,22256.99,22049.02,,-0.002357002
5/30/2012,22170.96,22172.25,22185.54,22092.38,,-0.000408559
5/31/2012,22066.4,22185.54,22201.1,22066.4,,-0.004727235
6/1/2012,21963.87,22112.13,22122.19,21963.87,,-0.004657259
6/4/2012,21785.37,22021.38,22078.98,21785.37,,-0.008160187
6/5/2012,21632.11,21785.85,21813.73,21632.11,,-0.007059859
6/6/2012,21383.61,21632.59,21689.85,21383.61,,-0.011554044
6/7/2012,21114.69,21382.65,21408.52,21114.69,,-0.012655734
6/8/2012,20902.95,21114.29,21118.06,20902.95,,-0.010078709
6/11/2012,21183.34,20902.91,21123.29,20901.49,,0.013324726
6/12/2012,21239.52,21125.87,21173.12,21056.09,,0.002648574
6/13/2012,21298.63,21154.56,21210.58,21154.56,,0.002779154
6/14/2012,21251.91,21209.77,21219.56,21144.81,,-0.002195978
6/15/2012,21184.58,21251.91,21277.32,21166.08,,-0.003173215
6/18/2012,21028.39,21184.31,21222.55,21028.39,,-0.007400129
6/19/2012,21082.11,21069.44,21110.69,20911.1,,0.002551384
6/20/2012,21510.71,21044.7,21445.33,21041.99,,0.020126137
6/21/2012,21348.11,21431.67,21513.15,21265.09,,-0.007587739
6/22/2012,21394.77,21343.49,21401.53,21339.97,,0.002183288
6/25/2012,21357.22,21394.77,21395.53,21332.14,,-0.001756644
6/26/2012,21347.17,21356.77,21398.44,21308.84,,-0.000470678
6/27/2012,21573.84,21347.17,21385.51,21347.17,,0.010562291
6/28/2012,21542.24,21570.6,21574.49,21512.28,,-0.001465811
6/29/2012,21599.57,21542.24,21608.56,21542.24,,0.002657748
7/2/2012,21571.67,21600.55,21641.91,21529.69,,-0.001292527
7/3/2012,21690.54,21571.67,21691.09,21570.62,,0.005495341
7/4/2012,21930.9,21697.72,21933.57,21683.53,,0.01102038
7/5/2012,22049.3,21932.76,22077.83,21930.9,,0.005384254
7/6/2012,22110.91,22049.66,22163.22,22049.29,,0.002790297
7/9/2012,22191.14,22110.91,22191.14,21690.54,,0.003621958
7/10/2012,22120.47,22190.28,22195.02,22101.51,,-0.003189686
7/11/2012,22253.71,22141.16,22264.35,22120.47,,0.006005312
7/12/2012,22492.96,22253.71,22495,22160.6,,0.010693635
7/13/2012,22741.06,22491.98,22746.6,22483.14,,0.01096973
7/16/2012,22978.14,22741.06,22987.49,22737.9,,0.010371228
7/17/2012,23039.27,22981.28,23046.73,22918.14,,0.002656822
7/18/2012,23277.3,23049.42,23277.85,23038.04,,0.010278485
7/19/2012,23098.21,23277.3,23341.87,23034.35,,-0.007723511
7/20/2012,23095.31,23098.21,23166.65,22913.49,,-0.000125559
7/23/2012,23381.05,23109.15,23401.28,23016.5,,0.012296299
7/24/2012,23169.24,23381.05,23412.31,23109.62,,-0.009100328
7/25/2012,23129.82,23169.24,23218.41,23123.45,,-0.001702843
7/26/2012,23116.61,23122.92,23129.82,22893.55,,-0.000571287
7/27/2012,23292.8,23116.6,23297.99,22799.39,,0.007592893
7/30/2012,23302.22,23292.8,23302.68,23243.66,,0.000404335
7/31/2012,23061.38,23302.64,23363.33,23021.47,,-0.010389278
8/1/2012,23329.34,23061.38,23335.98,23060.97,,0.011552439
8/2/2012,23488.62,23329.34,23540.72,23323.93,,0.006804253
8/3/2012,23523.16,23488.79,23521.9,23444.4,,0.001469419
8/6/2012,23418.66,23523.16,23564.34,23420.06,,-0.004452327
8/7/2012,23391.79,23419.59,23459.7,23354.38,,-0.001148034
8/8/2012,23166.58,23392.24,23439.73,23157.41,,-0.009674383
8/9/2012,23178.87,23166.58,23186.38,23143.37,,0.000530365
8/10/2012,23239.09,23178.87,23251.77,23158.16,,0.002594687
8/13/2012,23273.56,23239.03,23317.05,23238,,0.001482178
8/14/2012,23125.32,23273.56,23295.59,23094.6,,-0.006389831
8/15/2012,23105.05,23125.71,23146.53,23093.58,,-0.000876913
8/16/2012,23066.74,23106.08,23151.02,22991.66,,-0.001659455
8/17/2012,23141.08,23066.74,23141.28,23021.17,,0.00321764
8/22/2012,23199.03,23151.94,23222.9,23136.79,,0.002501074
8/23/2012,23186.73,23199.03,23217.47,23154.86,,-0.000530335
8/24/2012,23399.58,23186.73,23509.85,23169.82,,0.009137941
8/27/2012,23491.17,23399.58,23491.25,23368.35,,0.003906532
8/28/2012,23531.63,23490.96,23549.74,23438.43,,0.001720868
8/29/2012,23670.11,23531.63,23674.89,23510.17,,0.005867597
8/30/2012,23704.34,23671.93,23750,23664.75,,0.001445083
8/31/2012,23750.82,23704.34,23758.28,23664.72,,0.001958902
9/3/2012,23864.05,23750.33,23867.54,23735.04,,0.004756086
9/4/2012,24012.57,23864.85,23875.01,23853.66,,0.006204301
9/5/2012,24358.62,24012.57,24378.37,23964.59,,0.014308348
9/6/2012,24563.22,24358.62,24587.97,24336.24,,0.008364411
9/7/2012,24838.7,24563.22,24840.15,24563.22,,0.011152719
9/10/2012,24671.47,24838.7,24969.81,24694.12,,-0.006755405
9/11/2012,24568.58,24695.88,24695.88,24486.35,,-0.004179125
9/12/2012,24839.87,24568.58,24855.81,24552.16,,0.010981633
9/13/2012,25148.48,24841.24,25148.84,24839.87,,0.012347434
9/14/2012,25337.18,25148.6,25365.47,25126.44,,0.007475425
9/17/2012,25373.83,25340.43,25377.03,25314.13,,0.001445446
9/18/2012,25456.01,25340.42,25425.23,25262.2,,0.003233537
9/19/2012,25642.39,25473.67,25737.52,25456.01,,0.007294977
9/20/2012,25875.31,25642.83,25905.85,25571.3,,0.009042391
9/21/2012,25873.71,25875.75,25970.3,25803.01,,-6.18E-05
9/24/2012,25839,25875.34,25922.76,25817.25,,-0.001342417
9/25/2012,25947.6,25841.05,26066.97,25836.78,,0.004194141
9/26/2012,25774.53,25947.6,25963.63,25770.43,,-0.006692325
9/27/2012,25710.55,25774.7,25790.66,25680.41,,-0.002485382
9/28/2012,26011.64,25710.55,26039.73,25658.85,,0.011642717
10/2/2012,26023.1,26011.64,26193.92,25934.13,,0.000440475
10/3/2012,26448.61,26005.12,26209.45,25951.22,,0.016219
10/4/2012,26448.61,26448.61,26448.61,26448.61,,0
10/5/2012,26442.67,26447.89,26492.15,26358.99,,-0.000224612
10/8/2012,26618.7,26445.14,26650.23,26435.17,,0.006634983
10/9/2012,26840.87,26620.22,26846.91,26486.88,,0.00831175
10/10/2012,27006.77,26868.92,27075.04,26840.87,,0.006161849
10/11/2012,27371.3,27013.31,27372.86,27006.77,,0.013407444
10/12/2012,27287.85,27371.08,27403.26,27251.74,,-0.003053471
10/15/2012,27077.66,27296.17,27306.74,27077.66,,-0.007732515
10/16/2012,27109.62,27076.49,27126.55,27008.15,,0.001179613
10/17/2012,27194.13,27109.62,27292.39,26971.02,,0.003112495
10/18/2012,27271.5,27188.37,27346.87,27188.37,,0.00284106
10/19/2012,27296.36,27271.88,27342.03,27266.17,,0.000911159
10/22/2012,27272.57,27296.18,27312.88,27251.37,,-0.000871925
10/23/2012,27217.27,27258.9,27272.57,27146.52,,-0.002029737
10/24/2012,26876.07,27192.24,27245.04,26875.26,,-0.012615399
10/29/2012,26982.55,26876.07,27116.51,26875.83,,0.003954061
10/30/2012,26739.22,26982.55,27038.51,26706.23,,-0.009058959
10/31/2012,26430.92,26739.22,26781.06,26283.9,,-0.011596865
11/1/2012,26602.54,26427.78,26803.96,26427.37,,0.006472163
11/2/2012,26559.55,26587.74,26602.54,26504.8,,-0.001617318
11/5/2012,26600.1,26559.55,26631.8,26512.45,,0.001525593
11/6/2012,26724.02,26600.1,26726.45,26599.1,,0.004647811
11/7/2012,26792.27,26724.02,26880.03,26625.11,,0.002550627
11/8/2012,26883.76,26792.27,26885.81,26667.99,,0.003408974
11/9/2012,26718.3,26883.76,26883.76,26692.43,,-0.006173663
11/12/2012,26609.34,26216.89,26267.56,26103.24,,-0.004086442
11/13/2012,26290.42,26609.34,26609.58,26243.27,,-0.012057668
11/14/2012,26346.7,26290.42,26413.53,26269.16,,0.002138416
11/15/2012,26356.63,26344.62,26409.6,26323.22,,0.000376826
11/16/2012,26400.94,26356.63,26401.15,26336.39,,0.001679759
11/19/2012,26267.57,26400.94,26459.83,26013.58,,-0.005064517
11/20/2012,26358.73,26266.66,26359.14,26265.1,,0.003464431
11/21/2012,26303.41,26324.88,26449.5,26265.62,,-0.002100941
11/22/2012,26269.61,26324.14,26378.21,26235.95,,-0.001285831
11/23/2012,26322.5,26273.17,26324,26263.16,,0.002011329
11/26/2012,26363.99,26322.18,26466.83,26302.6,,0.001574977
11/27/2012,26226.25,26360.87,26443.33,26252,,-0.005238246
11/28/2012,26342.85,26232.69,26345.5,26215.43,,0.004436073
11/29/2012,26402.15,26344.9,26419.91,26342.85,,0.002248555
11/30/2012,26495.1,26405.17,26495.1,26380.68,,0.003514364
12/3/2012,26380.68,26494.69,26501.13,26435.39,,-0.004327886
12/4/2012,26382.54,26371.82,26408.46,26317.31,,7.05E-05
12/5/2012,26435.89,26381.12,26484.7,26381.12,,0.002020129
12/6/2012,26546.2,26443.13,26564.96,26426.6,,0.004164055
12/7/2012,26670.22,26551.48,26674.86,26498.1,,0.004660976
12/10/2012,26822.09,26671.72,26835.36,26671.72,,0.005678215
12/11/2012,27050.2,26822.09,27081.36,26813.91,,0.008468597
12/12/2012,27516.07,27050.2,27516.07,27042.44,,0.017075799
12/13/2012,27663.52,27518.67,27729.23,27377.91,,0.00534438
12/14/2012,27685.54,27662.01,27734.56,27640.17,,0.000795678
12/17/2012,27492.89,27685.54,27704.98,27473.74,,-0.006982829
12/18/2012,27437.76,27500.05,27562.31,27277.72,,-0.002007259
12/19/2012,27350.52,27438.26,27484.93,27305.94,,-0.003184625
12/20/2012,27508.09,27349.11,27516.04,27348.85,,0.005744602
12/21/2012,27402.06,27508.09,27706.08,27395.96,,-0.00386195
12/24/2012,27347.08,27401.14,27523.92,27277.42,,-0.002008434
12/27/2012,27737.69,27346.27,27741.32,27318.51,,0.014182379
12/28/2012,27866.55,27745.07,27906.94,27737.69,,0.004634907
12/31/2012,28078.81,27866.51,28281.85,27866.51,,0.007588155
1/2/2013,28501.21,28078.81,28503.64,28078.81,,0.014931343
1/3/2013,28441.39,28505.75,28681.28,28386.39,,-0.002101064
1/4/2013,28463.3,28455.72,28508.85,28441.39,,0.00077006
1/7/2013,28986.2,28501.7,28988.28,28501.7,,0.018204317
1/8/2013,29089.52,28986.2,29188.76,28956.39,,0.003558117
1/9/2013,28956.83,29089.8,29205.18,28926.89,,-0.004571872
